"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/strata_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/strata.csv?datainfo&rowcount&base_name=dinosauria"
"Access Time","Thu 2023-03-02 21:43:37 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","dinosauria"
"","timerule","major"
"Elapsed Time","1.13"
"Records Found","2399"
"Records Returned","2399"
"Records:"
"record_type","group","formation","member","lithology","max_ma","min_ma","cc_list","n_colls","n_occs"
"str","","","","sandstone,siltstone,""limestone"",mudstone,breccia,sandstone/claystone,""siliciclastic"",""carbonate"",conglomerate,tar,""carbonate""/lignite,grainstone,claystone/conglomerate,wackestone,siltstone/sandstone,gravel,rudstone/""limestone"",phosphorite,claystone,marl,not reported/lignite,conglomerate/sandstone,lignite,sandstone/mudstone,peat,chalk,sandstone/conglomerate,""limestone""/conglomerate,tuff,claystone/""carbonate"",lime mudstone,dolomite,siltstone/""limestone"",claystone/marl,sandstone/siltstone,""volcaniclastic"",gravel/claystone,wackestone/grainstone,claystone/siltstone,mudstone/sandstone,claystone/sandstone,sandstone/""shale"",""mixed carbonate-siliciclastic"",wackestone/""limestone"",sandstone/peat,marl/""limestone"",coal,""shale"",""shale""/sandstone,wackestone/packstone,travertine,ironstone,sandstone/marl,sandstone/lignite,claystone/lignite,""limestone""/marl,mudstone/siltstone,""siliciclastic""/sandstone,conglomerate/siltstone,""limestone""/""siliciclastic"",""reef rocks"",amber,sandstone/amber,sandstone/gravel,marl/sandstone,sandstone/""limestone"",conglomerate/claystone,lime mudstone/""limestone"",dolomite/claystone,siltstone/mudstone,mudstone/wackestone,lignite/mudstone,conglomerate/""limestone"",not reported/""limestone"",""limestone""/claystone,""carbonate""/claystone,""shale""/chert,phosphorite/claystone,chert,ash,packstone,siltstone/conglomerate,""limestone""/sandstone,gravel/sandstone,diatomite,marl/claystone,gypsum,marl/mudstone,marl/lignite,lime mudstone/mudstone,lignite/claystone,sandstone/coal,""siliciclastic""/""limestone"",grainstone/conglomerate,conglomerate/mudstone,not reported/dolomite,""shale""/""limestone"",siderite","0.0117","0","ET,AG,NZ,CU,UK,US,AU,BS,IT,ID,ES,HR,KZ,MX,DZ,FI,UZ,FR,CA,PF,PT,HU,CY,JM,RO,MU,FJ,DO,MG,JP,GL,PE,PN,HT,PL,PG,VE,EG,PR,PW,LB,NC,NE,MP,TO,EC,GR,RU,AR,SH,TL,BM,GU,ZA,CL,MN,DE,JO,CK,MA,KE,VU,EE,CM,KR,NO,TD,AA,SD,CN,SK,UA,PH,AZ,KY,TM,IN,IL,PA,CD,SC,MY,TF,IE,DK,UG,MH,CZ,CO,FA,MT,BR,NA,BE,TR,BG,CH,IS,AO,BB,ER,GE,KG,TH,SN,SE,ZW,TJ,MD,NL,NG,BO,MM,UY,GP,SY,KH,LY,AT,SV,AM,IR,SI,AF,ZM,TG","2665","12658"
"str","","","2","claystone/marl,sandstone,packstone,packstone/mudstone","150.8","145","FR","4","14"
"str","","","Bed IIa","phosphorite","59.2","56","MA","1","1"
"str","","","Brown Bed","""shale""","83.5","70.6","CA","5","5"
"str","","","Bumban","","55.8","48.6","MN","1","4"
"str","","","Darau","siltstone","2.588","0.0117","EG","2","27"
"str","","","Kulbikin","","105.3","93.9","UZ","1","1"
"str","","","Lower","","72.1","66","FR","1","2"
"str","","","Unit Matupi I","","0.0117","0","CD","1","1"
"str","","","Unit Matupi II","","2.588","0","CD","1","6"
